Region,Reg #,Facility Name,Classification,FIPS,County,SIC,NAICS,CO Emissions in Tons,NH3 Emissions in Tons,NO2 Emissions in Tons,PM 10 Emissions in Tons,PM 2.5 Emissions in Tons,SO2 Emissions in Tons,VOC Emissions in Tons,Facility Total
NRO,40996,Old Dominion Electric Cooperative - Marsh Run,Major/Potential Major,061,Fauquier County,4911,221112,80.27,0.00,124.54,2.84,7.99,40.82,40.82,297.27
NRO,41014,Zamma Corporation,Synthetic Minor,137,Orange County,2499,321999,19.70,0.00,16.18,0.82,10.16,1.21,0.00,48.06
NRO,41030,Superior Paving Corporation - Powell Lane,Synthetic Minor,179,Stafford County,2951,324121,14.00,0.00,2.80,0.37,3.45,0.74,0.00,21.35
NRO,41050,Ameresco Stafford LLC - LFGTE Facility,True Minor,179,Stafford County,4911,221112,7.83,0.00,12.72,1.41,1.41,2.18,0.00,25.55
NRO,41055,JK Enterprise Lanscape Supply,Synthetic Minor,047,Culpeper County,0782,561730,3.87,0.00,16.98,0.41,0.62,1.76,0.00,23.64
NRO,41057,Trae Fuels LTD,Major/Potential Major,109,Louisa County,2411,113310,12.55,0.00,27.50,2.25,72.30,108.66,0.00,223.26
NRO,70003,MWAA - Washington Dulles International Airport,Synthetic Minor,107,Loudoun County,4581,488119,11.13,0.00,7.87,0.21,0.99,1.53,1.53,23.27
NRO,70010,Superior Paving Corp - Leesburg Plant,Synthetic Minor,107,Loudoun County,2951,324121,38.37,0.00,7.67,1.00,9.44,6.79,0.00,63.28
NRO,70012,Virginia Paving Company - Chantilly,Synthetic Minor,107,Loudoun County,2951,324121,18.36,0.00,3.67,0.48,4.52,3.25,0.41,30.69
NRO,70013,Virginia Paving Company - Occoquan Plant,Synthetic Minor,059,Fairfax County,2951,324121,12.44,0.00,2.89,1.30,3.06,2.20,0.00,21.88
