site_name,registration_number,issuance_date,program_type,city_or_county,regional_office,permit_url,address,main_parcel,generator_count,generator_capacity_mw,fuel,operating_limits,pollutant_limits,source_file,is_northern_virginia,unverified_fields
CLOP Ashland VA LLC,53197,2026-07-21,Minor NSR,Hanover County,Piedmont,,,,,,diesel,"p. 7: 05GEN-1, and HGEN) shall not operate more than 500 hours per year, including up to 100 | p. 7: hours per year for maintenance checks and readiness testing, calculated monthly as the sum",p. 8: PM 1.0 lb/hr 0.3 tons/yr 0.5 tons/yr | p. 8: PM10 1.0 lb/hr 0.3 tons/yr 0.5 tons/yr | p. 8: PM2.5 1.0 lb/hr 0.3 tons/yr 0.5 tons/yr,raw/deq_va/531972_DC_Permit.pdf,False,permit_url;address;generator_count;generator_capacity_mw
Microsoft Corporation,53198,2025-05-01,New Source Review,Mecklenburg County,Piedmont,,,,,,diesel,,p. 7: PM 0.6 lb/hr 0.1 lb/hr | p. 7: PM 0.7lb/hr 0.1 lb/hr | p. 7: SO 0.2 lb/hr 0.01lb/hr,raw/deq_va/53198_DC_Permit.pdf,False,permit_url;address;generator_count;generator_capacity_mw
"QTS Richmond V, LLC",53259,2026-04-22,Minor NSR,Henrico County,Piedmont,,,,,,diesel,"p. 6: HGEN008) shall not operate more than 500 hours per year, calculated monthly as the sum",p. 8: lb/hr lb/hr,raw/deq_va/5325901_DC_Permit.pdf,False,permit_url;address;generator_count;generator_capacity_mw
"Iron Mountain Information Management, LLC",53266,2026-05-07,New Source Review,Henrico County,,,,,,,diesel,"p. 6: than 36 hours per year, calculated monthly as the sum of each consecutive 12-month period | p. 6: more than 26 hours per year, calculated monthly as the sum of each consecutive 12-month",,raw/deq_va/5326601_DC_Permit.pdf,False,regional_office;permit_url;address;generator_count;generator_capacity_mw
Sentara Healthcare,60353,2015-08-07,,Virginia Beach,TIDEWATER,,,,,,diesel,"p. 2: each not exceed 500 operating hours per year as such operation ensures that pollutant emission levels will remain | p. 7: operate more than 500 hours per year each, calculated monthly as the sum of each consecutive 12-month",,raw/deq_va/60353_DC_Permit.pdf,False,program_type;permit_url;address;generator_count;generator_capacity_mw
,71804,2009-02-27,,,NORTHERN,,,,,,diesel,"p. 6: units 1 through 5 shall not operate more than 1350 hours per year, calculated | p. 6: units 6 through 8 shall not operate more than 870.hours per year, calculated monthly",,raw/deq_va/7180403_DC_Permit.pdf,True,site_name;program_type;city_or_county;permit_url;address;generator_count;generator_capacity_mw
"Meridian Science 7990, LLC",71804,2016-11-09,Minor NSR,Fairfax County,NORTHERN,,,,,,diesel,"p. 6: operate more than 100 hours per year, calculated monthly as the sum of each consecutive",,raw/deq_va/7180404_DC_Permit.pdf,True,permit_url;address;generator_count;generator_capacity_mw
"CoreSite Real Estate 12100 Sunrise Valley Dr, LLC",72296,2013-01-31,Minor NSR,,NORTHERN,,,,,,diesel,"p. 7: more than 500 hours per year, calculated monthly as the sum of each consecutive 12 month",p. 12: 20. Emission Statement - The owner of a stationary source emitting twenty-five tons per year,raw/deq_va/72296_DC_Permit.pdf,True,city_or_county;permit_url;address;generator_count;generator_capacity_mw
,72367,2020-02-26,Minor NSR,Loudoun County,,,"Verizon Business Network Services, Inc., 22001 Loudoun County Parkway, Ashburn, VA20147",,,,diesel,"p. 6: more than 1,092 hours per year, calculated monthly as the sum of each consecutive 12-",,raw/deq_va/72367_DC_Permit.pdf,True,site_name;regional_office;permit_url;generator_count;generator_capacity_mw
"AOL, LLC",72368,2009-08-28,Minor NSR,,NORTHERN,,,,,,diesel,,,raw/deq_va/72368_DC_Permit.pdf,True,city_or_county;permit_url;address;generator_count;generator_capacity_mw
"Comcast Cable Communications, LLC",72374,2014-03-27,Minor NSR,Prince William County,NORTHERN,,"11101 University Boulevard, Manassas, Virginia 20110",,,,diesel,"p. 6: more than 500 hours per year,calculated monthly as the sum of each consecutive 12 month",,raw/deq_va/72374_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
"Chantilly Technology Partners, LLC/H5 VA",72375,2026-03-10,Minor NSR,Fairfax County,Northern,,,,,,diesel,p. 8: shall not operate more than 240 hours per year for all purposes (as provided in | p. 8: shall not operate more than 320 hours per year for all purposes (as provided in | p. 8: 80 hours per year for all purposes (as provided in Condition 4),p. 11: 44.09 lb/hr 49.85 lb/hr 26.43 lb/hr | p. 11: 0.74 lb/hr 0.93 lb/hr 0.50 lb/hr | p. 11: 0.89 lb/hr 1.00 lb/hr 0.65 lb/hr,raw/deq_va/723759_DC_Permit.pdf,True,permit_url;address;generator_count;generator_capacity_mw
Freddie Mac,73105,2007-07-26,,,,,,,,,diesel,"p. 5: sets (Ref. No.'s 1 - 4) shall not exceed 1400 hours per year, calculated monthly as",,raw/deq_va/73105_DC_Permit.pdf,False,program_type;city_or_county;regional_office;permit_url;address;generator_count;generator_capacity_mw
Qwest Communications Corporation,73158,2003-09-16,,Loudoun County,,,,,,,diesel,,p. 7: not exceed 24.4 tons per year. The nitrogen dioxide emissions shall be calculated | p. 9: emitting 24.4 tons per year or more of volatile organic compounds or nitrogen oxides,raw/deq_va/73158_DC_Permit.pdf,True,program_type;regional_office;permit_url;address;generator_count;generator_capacity_mw
,73160,2019-10-30,Minor NSR,Loudoun County,,,"21110 Ridgetop Circle, Sterling, Virginia 20166, 45901 Nokes Boulevard, Sterling, Virginia 20166, 45845 Nokes Boulevard, Sterling, Virginia 20166",,,,diesel,"p. 8: more than 500 hours per year, calculated monthly as the sum of each consecutive 12-month | p. 8: thru DC2&3-EG12) shall not operate more than 1,200 hours per year combined, but | p. 8: individually not more than 500 hours per year, calculated monthly as the sum of each",,raw/deq_va/73160_DC_Permit.pdf,True,site_name;regional_office;permit_url;generator_count;generator_capacity_mw
